smd_22,ward,cm,anc_22,smd_22,cm_residence_smd_22,cm_adjacent_smd_22,cm_res_or_adj_smd_22
1A09,1,Nadeau,1A,1A09,1,0,1
1A07,1,Nadeau,1A,1A07,0,1,1
1A08,1,Nadeau,1A,1A08,0,1,1
1A10,1,Nadeau,1A,1A10,0,1,1
2F01,2,Pinto,2F,2F01,1,0,1
2F02,2,Pinto,2F,2F02,0,1,1
2F04,2,Pinto,2F,2F04,0,1,1
2B04,2,Pinto,2F,2B04,0,1,1
1B12,2,Pinto,2F,1B12,0,1,1
3F03,3,Cheh,3F,3F03,1,0,1
3F02,3,Cheh,3F,3F02,0,1,1
3F04,3,Cheh,3F,3F04,0,1,1
3F05,3,Cheh,3F,3F05,0,1,1
4B04,4,George,4B,4B04,1,0,1
4A06,4,George,4B,4A06,0,1,1
4B03,4,George,4B,4B03,0,1,1
4B05,4,George,4B,4B05,0,1,1
4B06,4,George,4B,4B06,0,1,1
5E09,5,McDuffie,5E,5E09,1,0,1
5E08,5,McDuffie,5E,5E08,0,1,1
6C05,6,Allen,6C,6C05,1,0,1
6C06,6,Allen,6C,6C06,0,1,1
6A01,6,Allen,6C,6A01,0,1,1
6C03,6,Allen,6C,6C03,0,1,1
6C04,6,Allen,6C,6C04,0,1,1
7B05,7,Gray,7B,7B05,1,0,1
8B05,7,Gray,7B,8B05,0,1,1
8B02,7,Gray,7B,8B02,0,1,1
7B02,7,Gray,7B,7B02,0,1,1
7B06,7,Gray,7B,7B06,0,1,1
8E05,8,White,8E,8E05,1,0,1
8E07,8,White,8E,8E07,0,1,1
8E06,8,White,8E,8E06,0,1,1
8C03,8,White,8E,8C03,0,1,1
8E04,8,White,8E,8E04,0,1,1
